,len_original,ip_id,total_length,fragment_offset,tcp_seq_no,tcp_ack_no,tcp_data_off,tcp_window
423,66.0,26411.0,32.0,64.0,1167178800.0,1011589000.0,8.0,1448.0
424,66.0,28849.0,32.0,64.0,145750600.0,2983589000.0,8.0,64000.0
425,66.0,28849.0,32.0,64.0,145750600.0,2983589000.0,8.0,64000.0
426,54.0,54917.0,20.0,64.0,2983589000.0,145750600.0,5.0,1026.0
427,97.0,54918.0,63.0,64.0,2983589000.0,145750600.0,5.0,1026.0
428,73.0,28850.0,39.0,64.0,145750600.0,2983589000.0,5.0,63957.0
429,259.0,54919.0,225.0,64.0,2983589000.0,145750610.0,5.0,1026.0
430,896.0,28851.0,862.0,64.0,145750610.0,2983589400.0,5.0,63752.0
431,380.0,54920.0,346.0,64.0,2983589400.0,145751460.0,5.0,1023.0
432,113.0,28852.0,79.0,64.0,145751460.0,2983589600.0,5.0,63426.0
433,139.0,54921.0,105.0,64.0,2983589600.0,145751520.0,5.0,1022.0
434,347.0,28853.0,313.0,64.0,145751520.0,2983589600.0,5.0,63341.0
435,731.0,54922.0,697.0,64.0,2983589600.0,145751800.0,5.0,1021.0
436,60.0,28854.0,20.0,64.0,145751800.0,2983590400.0,5.0,62664.0
437,91.0,28855.0,57.0,64.0,145751800.0,2983590400.0,5.0,62664.0
438,54.0,54923.0,20.0,64.0,2983590400.0,145751840.0,5.0,0.0
439,66.0,15776.0,32.0,64.0,74853370.0,0.0,8.0,64240.0
440,66.0,28989.0,32.0,64.0,167463940.0,74853370.0,8.0,64000.0
441,54.0,15777.0,20.0,64.0,74853370.0,167463940.0,5.0,1026.0
442,97.0,15778.0,63.0,64.0,74853370.0,167463940.0,5.0,1026.0
443,73.0,28990.0,39.0,64.0,167463940.0,74853410.0,5.0,63957.0
444,259.0,15779.0,225.0,64.0,74853410.0,167463950.0,5.0,1026.0
445,896.0,28991.0,862.0,64.0,167463950.0,74853620.0,5.0,63752.0
446,380.0,15780.0,346.0,64.0,74853620.0,167464800.0,5.0,1023.0
447,113.0,28992.0,79.0,64.0,167464800.0,74853944.0,5.0,63426.0
448,139.0,15781.0,105.0,64.0,74853944.0,167464850.0,5.0,1022.0
449,347.0,28993.0,313.0,64.0,167464850.0,74854024.0,5.0,63341.0
450,731.0,15782.0,697.0,64.0,74854024.0,167465150.0,5.0,1021.0
451,60.0,28994.0,20.0,64.0,167465150.0,74854700.0,5.0,62664.0
452,91.0,28995.0,57.0,64.0,167465150.0,74854700.0,5.0,62664.0
453,54.0,15783.0,20.0,64.0,74854700.0,167465180.0,5.0,0.0
454,66.0,0.0,32.0,64.0,1155467000.0,2897614000.0,8.0,5840.0
455,66.0,0.0,32.0,64.0,1155467000.0,2897614000.0,8.0,5840.0
456,54.0,13430.0,20.0,64.0,2897614000.0,1155467000.0,5.0,64.0
457,54.0,13431.0,20.0,64.0,2897614000.0,1155467000.0,5.0,195.0
458,122.0,13432.0,88.0,64.0,2897614000.0,1155467000.0,5.0,195.0
459,60.0,55870.0,20.0,64.0,1155467000.0,2897614000.0,5.0,1460.0
460,60.0,55871.0,20.0,64.0,1155467000.0,2897614000.0,5.0,1460.0
461,66.0,0.0,32.0,64.0,1168592500.0,972866940.0,8.0,5840.0
462,66.0,0.0,32.0,64.0,1168592500.0,972866940.0,8.0,5840.0
