,ip_id
179,20723.0
180,27851.0
181,50618.0
182,58650.0
183,41290.0
184,5349.0
185,55424.0
186,19222.0
187,19843.0
188,53398.0
189,62614.0
190,27060.0
191,10673.0
192,0.0
193,43318.0
194,28195.0
195,7104.0
196,38190.0
197,61550.0
198,19622.0
199,17046.0
200,37872.0
201,54382.0
202,3667.0
203,11559.0
204,21330.0
205,870.0
206,24417.0
207,9203.0
208,3660.0
209,20953.0
210,48197.0
211,10529.0
212,46337.0
213,16078.0
214,13254.0
215,46612.0
216,31965.0
217,5216.0
218,37676.0
219,32047.0
220,19783.0
221,31401.0
222,36547.0
223,27268.0
224,60597.0
225,59250.0
226,28236.0
227,56137.0
228,54920.0
229,19264.0
230,63606.0
231,22368.0
232,60882.0
233,34000.0
234,5083.0
235,14488.0
236,25169.0
237,12678.0
238,26331.0
239,22670.0
240,38242.0
241,970.0
242,59743.0
243,7988.0
244,28458.0
245,57022.0
246,23529.0
247,19913.0
248,15390.0
249,46561.0
250,29634.0
251,131.0
252,26144.0
253,16552.0
254,36078.0
255,30514.0
256,50976.0
257,41653.0
258,24380.0
259,37004.0
260,8778.0
261,62211.0
262,22315.0
263,47876.0
264,61799.0
265,59319.0
266,49168.0
267,36580.0
268,22739.0
269,35526.0
270,37726.0
271,24355.0
272,21323.0
273,36688.0
274,17130.0
275,48408.0
276,9522.0
277,20520.0
278,31735.0
279,17271.0
280,19277.0
281,14314.0
282,47554.0
283,43571.0
284,38148.0
285,34516.0
286,62064.0
287,1496.0
288,64044.0
289,59191.0
290,30883.0
291,24263.0
292,54422.0
293,43156.0
294,28547.0
295,21890.0
296,23465.0
297,27081.0
298,20296.0
299,51155.0
300,64612.0
301,32391.0
302,25139.0
303,26466.0
304,9613.0
305,42655.0
306,24799.0
307,38092.0
308,59289.0
309,59645.0
310,11144.0
311,55947.0
312,40190.0
313,17752.0
314,64075.0
315,21557.0
316,24245.0
317,16464.0
318,58586.0
319,29981.0
320,15800.0
321,35072.0
322,49901.0
323,63908.0
324,32075.0
325,897.0
326,730.0
327,29617.0
328,60020.0
329,46862.0
330,31193.0
331,18455.0
332,40554.0
333,54138.0
334,58772.0
335,25179.0
336,37633.0
337,6705.0
338,25165.0
339,399.0
340,62442.0
341,0.0
342,22747.0
343,37823.0
344,14507.0
345,46228.0
346,9331.0
347,51205.0
348,19625.0
349,55468.0
350,16832.0
351,24043.0
352,64127.0
353,11998.0
354,14926.0
355,52553.0
356,4595.0
357,27923.0
358,10384.0
359,13107.0
360,25177.0
361,21691.0
362,42633.0
363,4466.0
364,54503.0
365,11848.0
366,13109.0
367,29216.0
368,20024.0
369,35240.0
370,65434.0
371,23399.0
372,31055.0
373,37494.0
374,50255.0
375,20328.0
376,50827.0
377,41353.0
378,35302.0
379,19842.0
380,0.0
381,62885.0
382,26511.0
383,11795.0
384,37495.0
385,0.0
386,11633.0
387,11051.0
388,28979.0
389,3668.0
390,9572.0
391,41219.0
392,49431.0
393,23133.0
394,637.0
395,1370.0
396,19852.0
397,37629.0
398,27520.0
399,46701.0
400,32305.0
401,27384.0
402,27428.0
403,16431.0
404,5313.0
405,65274.0
406,11550.0
407,27261.0
408,24130.0
409,814.0
410,0.0
411,60645.0
