,len_original,ip_id,total_length,fragment_offset,ip_src,ip_dst,tcp_src,tcp_dst,tcp_seq_no,tcp_ack_no,tcp_data_off,tcp_window
101,66.0,32103.0,32.0,64.0,3232235911.0,3104298609.0,3389.0,47079.0,1260895623.0,4098938934.0,8.0,64000.0
102,74.0,0.0,40.0,64.0,3232236018.0,2997142748.0,51413.0,28810.0,750485245.0,1179738203.0,10.0,5792.0
103,896.0,24081.0,862.0,64.0,3232235911.0,3266588808.0,3389.0,33326.0,3109147583.0,3927844202.0,5.0,63752.0
104,54.0,14935.0,20.0,64.0,1315650231.0,3232236018.0,23359.0,51413.0,2871867352.0,164140989.0,5.0,16425.0
105,60.0,60383.0,20.0,64.0,3232236018.0,1433881285.0,51413.0,43085.0,714701594.0,1521237084.0,5.0,6432.0
106,66.0,54532.0,32.0,64.0,1595466521.0,3232236018.0,65023.0,51413.0,2229981057.0,0.0,8.0,64240.0
107,60.0,47917.0,20.0,64.0,3232236018.0,634797168.0,51413.0,8208.0,2800755110.0,3470832136.0,5.0,1460.0
108,113.0,50435.0,79.0,64.0,3232235911.0,1598521273.0,3389.0,54862.0,2873415575.0,2165214810.0,5.0,63426.0
109,66.0,64090.0,32.0,64.0,87364816.0,3232236018.0,64208.0,51413.0,469205837.0,0.0,8.0,64240.0
110,66.0,24466.0,32.0,64.0,3103937295.0,3232236018.0,443.0,34420.0,664666070.0,2409996641.0,8.0,501.0
111,113.0,32127.0,79.0,64.0,3232235911.0,3104298609.0,3389.0,10294.0,2480748254.0,2393623117.0,5.0,63426.0
112,60.0,28035.0,20.0,64.0,3232235911.0,3271810869.0,3389.0,61332.0,2694609144.0,2265245544.0,5.0,62680.0
113,113.0,35322.0,79.0,64.0,3232235911.0,3113450631.0,3389.0,65387.0,3858941618.0,960994780.0,5.0,63426.0
114,113.0,49711.0,79.0,64.0,3232235911.0,3109781354.0,3389.0,54004.0,2791505494.0,2948904085.0,5.0,63426.0
115,113.0,24715.0,79.0,64.0,3232235911.0,3266588808.0,3389.0,24120.0,1220693565.0,1737399740.0,5.0,63426.0
116,257.0,45935.0,223.0,64.0,2965684483.0,3232236018.0,64830.0,51413.0,3909877184.0,941053906.0,8.0,502.0
117,552.0,41722.0,518.0,64.0,634186408.0,3232236018.0,54272.0,51413.0,2688738895.0,1394968979.0,5.0,513.0
118,583.0,29808.0,549.0,64.0,3232236018.0,3103937295.0,34406.0,443.0,2330774712.0,1169244209.0,8.0,1460.0
119,347.0,49480.0,313.0,64.0,3232235911.0,1842206014.0,3389.0,65221.0,4271700725.0,436143863.0,5.0,63341.0
120,74.0,42165.0,40.0,64.0,3232236018.0,3103937295.0,35754.0,443.0,4277057288.0,0.0,10.0,5840.0
121,73.0,49730.0,39.0,64.0,3232235911.0,3109781354.0,3389.0,64859.0,264429448.0,981918526.0,5.0,63957.0
122,74.0,6520.0,40.0,64.0,3187836335.0,3232236018.0,44659.0,51413.0,3279997020.0,0.0,10.0,64240.0
123,66.0,29721.0,32.0,64.0,3109902730.0,3232235911.0,55730.0,3389.0,4083726304.0,0.0,8.0,8192.0
124,66.0,56711.0,32.0,64.0,1746214913.0,3232236018.0,80.0,39944.0,3379051025.0,3001231977.0,8.0,9.0
125,74.0,0.0,40.0,64.0,3232236018.0,2323397898.0,51413.0,58990.0,3938355609.0,194966386.0,10.0,5792.0
126,66.0,37722.0,32.0,64.0,3109781367.0,3232235911.0,13294.0,3389.0,1403265257.0,0.0,8.0,64240.0
127,74.0,40513.0,40.0,64.0,3232236018.0,3103937295.0,35741.0,443.0,3777796369.0,0.0,10.0,5840.0
128,66.0,62903.0,32.0,64.0,3232236018.0,1868205338.0,51052.0,443.0,2531846716.0,1622915563.0,8.0,1174.0
129,122.0,55668.0,88.0,64.0,1410806982.0,3232236018.0,65251.0,51413.0,1467370110.0,2383311778.0,5.0,255.0
130,66.0,13809.0,32.0,64.0,3266588808.0,3232235911.0,48684.0,3389.0,210197092.0,0.0,8.0,64240.0
131,66.0,55781.0,32.0,64.0,3232236018.0,1868205338.0,36503.0,443.0,1027716970.0,646786447.0,8.0,1460.0
132,66.0,46770.0,32.0,64.0,1599021298.0,3232236018.0,22830.0,51413.0,3053483497.0,1349190.0,8.0,1026.0
